,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,,Formula 1:,A = Nuc_null-n/ Nuc_null-601,,Ratio0-nuc,,Formula 2:,B = Ss-n/ SS_601,,Ratio0-nuc,Ratio0-ss,Ratio1-nuc,Ratio1-ss,Ratio2-nuc,Ratio2-ss,Ratio4-nuc,Ratio4-ss,Ratio10-nuc,Ratio10-ss,,Formula 3:,relativesupershift = log2(B/A),,Ratio0-nuc,Ratio0-ss,Ratio1-nuc,Ratio1-ss,Ratio2-nuc,Ratio2-ss,Ratio4-nuc,Ratio4-ss,Ratio10-nuc,Ratio10-ss,,adjust order,Sample,0 nM,0 nM,36 nM,36 nM,71 nM,71 nM,143 nM,143 nM,357 nM,357 nM
CONTROL,46487,41018,42894,5827,43746,4567,43769,4321,59311,31177,,,,CONTROL,1,,,,CONTROL,1,1,1,1,1,1,1,1,1,1,,,,CONTROL,0,0,0,0,0,0,0,0,0,0,,,CONTROL,0,0,0,0,0,0,0,0,0,0
L6+R7,107930,81749,88170,172938,72776,198648,37100,184614,21808,97666,,,,L6+R7,2.321724353,,,,L6+R7,2.321724353,1.993003072,2.055532242,29.67873691,1.663603529,43.49638713,0.847631886,42.72483221,0.367688962,3.132629823,,,,L6+R7,0,-0.220252764,-0.175684697,3.676161091,-0.480885047,4.22762697,-1.453686934,4.201806223,-2.658638927,0.432177601,,,R0,0,-0.2436386,-0.003967851,0.384858457,0.004374203,0.515388541,0.022895967,0.400951436,0.207615586,0.071264929
R0,79850,59508,73476,13069,75370,11213,76384,9800,117646,56264,,,,R0,1.717684514,,,,R0,1.717684514,1.450777707,1.712966849,2.242835078,1.722900379,2.455222247,1.745162101,2.26799352,1.983544368,1.804663694,,,,R0,0,-0.2436386,-0.003967851,0.384858457,0.004374203,0.515388541,0.022895967,0.400951436,0.207615586,0.071264929,,,R0.5,0,-0.65691805,-0.002399202,-0.002245687,0.011948618,0.194181934,0.024926628,0.079013599,0.005360671,0.128021125
R0.5,94629,52956,87170,11843,89790,10636,90649,9291,121183,69353,,,,R0.5,2.035601351,,,,R0.5,2.035601351,1.291042957,2.032218958,2.032435215,2.052530517,2.328881104,2.071077703,2.150196714,2.043179174,2.224492414,,,,R0.5,0,-0.65691805,-0.002399202,-0.002245687,0.011948618,0.194181934,0.024926628,0.079013599,0.005360671,0.128021125,,,R4,0,-0.265347163,0.037089691,0.285248955,0.044567946,0.433138105,0.08945544,0.20124988,0.150000491,0.059891185
R4,122697,90074,116162,18742,119085,16275,122913,13112,173697,85776,,,,R4,2.639383053,,,,R4,2.639383053,2.195962748,2.708117685,3.216406384,2.722191743,3.563608496,2.80822043,3.034482759,2.928579859,2.751258941,,,,R4,0,-0.265347163,0.037089691,0.285248955,0.044567946,0.433138105,0.08945544,0.20124988,0.150000491,0.059891185,,,R4.5,0,0.072216935,0.018614879,0.670956454,0.021149487,0.851525523,0.040281878,0.931075581,-0.015557288,0.142917132
R4.5,98212,91106,91798,19600,93786,17410,95088,17406,123961,72726,,,,R4.5,2.112676662,,,,R4.5,2.112676662,2.221122434,2.140112836,3.363651965,2.143876012,3.812130501,2.172496516,4.028234205,2.090017029,2.332681143,,,,R4.5,0,0.072216935,0.018614879,0.670956454,0.021149487,0.851525523,0.040281878,0.931075581,-0.015557288,0.142917132,,,R6,0,-0.330323263,0.030382942,0.796078207,0.017590282,1.074579101,-0.043948069,1.522279003,-0.661188922,0.314978674
R6,102702,72075,96781,22353,97832,21250,93796,27421,82860,85684,,,,R6,2.209262805,,,,R6,2.209262805,1.757155395,2.25628293,3.836107774,2.236364468,4.652945041,2.142977907,6.345984726,1.397042707,2.748308048,,,,R6,0,-0.330323263,0.030382942,0.796078207,0.017590282,1.074579101,-0.043948069,1.522279003,-0.661188922,0.314978674,,,R6.5,0,-0.328217349,0.01449251,1.160130978,-0.081400504,1.799955647,-0.46871506,3.015886624,-1.044923495,0.33228168
R6+R7,103728,76052,81866,241307,68861,266189,42941,176463,39840,86514,,,,R6+R7,2.231333491,,,,R6+R7,2.231333491,1.854112829,1.908565301,41.41187575,1.574109633,58.28530764,0.981082501,40.83846332,0.67171351,2.774930237,,,,R6+R7,0,-0.267177113,-0.225417604,4.214066494,-0.503370128,4.707154202,-1.185459786,4.193950524,-1.731988201,0.31454535,,,R7,0,-0.358857207,-0.132800196,2.987161972,-0.398213796,3.519257869,-1.129090924,3.782879793,-2.008857237,0.358039157
R6.5,165135,116059,153910,46258,146873,56491,112351,124155,102115,139434,,,,R6.5,3.552283434,,,,R6.5,3.552283434,2.829465113,3.588147526,7.938561867,3.357404106,12.3693891,2.566908086,28.73293219,1.721687377,4.472335375,,,,R6.5,0,-0.328217349,0.01449251,1.160130978,-0.081400504,1.799955647,-0.46871506,3.015886624,-1.044923495,0.33228168,,,R8,0,-0.516241154,-0.085161491,2.219637819,-0.174126623,2.575522497,-0.306919898,2.499249453,-0.609095741,0.234616335
R7,144546,99454,121645,143663,103214,162820,62223,184935,45823,124248,,,,R7,3.10938542,,,,R7,3.10938542,2.42464284,2.835944421,24.65471083,2.359392859,35.65141231,1.42162261,42.79912057,0.772588559,3.985245534,,,,R7,0,-0.358857207,-0.132800196,2.987161972,-0.398213796,3.519257869,-1.129090924,3.782879793,-2.008857237,0.358039157,,,R6+R7,0,-0.267177113,-0.225417604,4.214066494,-0.503370128,4.707154202,-1.185459786,4.193950524,-1.731988201,0.31454535
R8,105384,65015,91665,61527,87895,61714,80208,55383,88150,83158,,,,R8,2.266956353,,,,R8,2.266956353,1.585035838,2.13701217,10.55894972,2.009212271,13.51302825,1.832529873,12.81717195,1.486233582,2.667286782,,,,R8,0,-0.516241154,-0.085161491,2.219637819,-0.174126623,2.575522497,-0.306919898,2.499249453,-0.609095741,0.234616335,,,L6+R7,0,-0.220252764,-0.175684697,3.676161091,-0.480885047,4.22762697,-1.453686934,4.201806223,-2.658638927,0.432177601
,Ratio0-nuc,Ratio0-ss,Ratio1-nuc,Ratio1-ss,Ratio2-nuc,Ratio2-ss,Ratio4-nuc,Ratio4-ss,Ratio10-nuc,Ratio10-ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,