"","fb_gene_id","fb_symbol","fb_cg_id","group"
"38","FBgn0000043","Act42A","CG12051","lola_promoters"
"47","FBgn0000052","Pfas","CG9127","lola_promoters"
"67","FBgn0000064","Ald","CG6058","lola_promoters"
"158","FBgn0000182","BicC","CG4824","lola_promoters"
"249","FBgn0000318","cl","CG11024","lola_promoters"
"258","FBgn0000337","cn","CG1555","lola_promoters"
"325","FBgn0000454","Dip-B","CG9285","lola_promoters"
"420","FBgn0000568","Eip75B","CG8127","lola_promoters"
"533","FBgn0001092","Gapdh2","CG8893","lola_promoters"
"535","FBgn0001098","Gdh","CG5320","lola_promoters"
"547","FBgn0001112","Gld","CG1152","lola_promoters"
"564","FBgn0001125","Got2","CG4233","lola_promoters"
"640","FBgn0001229","Hsp67Bc","CG4190","lola_promoters"
"660","FBgn0001248","Idh","CG7176","lola_promoters"
"766","FBgn0001991","Ca-alpha1D","CG4894","lola_promoters"
"848","FBgn0002567","Rab32","CG8024","lola_promoters"
"910","FBgn0002772","Mlc1","CG5596","lola_promoters"
"987","FBgn0002921","Atpalpha","CG5670","lola_promoters"
"1060","FBgn0003071","Pfk","CG4001","lola_promoters"
"1066","FBgn0003079","Raf","CG2845","lola_promoters"
"1129","FBgn0003162","Pu","CG9441","lola_promoters"
"1271","FBgn0003380","Sh","CG12348","lola_promoters"
"1306","FBgn0003401","shu","CG4735","lola_promoters"
"1470","FBgn0003744","trc","CG8637","lola_promoters"
"1491","FBgn0003870","ttk","CG1856","lola_promoters"
"1682","FBgn0004369","Ptp99A","CG11516","lola_promoters"
"1688","FBgn0004373","fwd","CG7004","lola_promoters"
"1810","FBgn0004611","Plc21C","CG4574","lola_promoters"
"1860","FBgn0004654","Pgd","CG3724","lola_promoters"
"1936","FBgn0004865","Eip78C","CG18023","lola_promoters"
"2003","FBgn0004914","Hnf4","CG9310","lola_promoters"
"2128","FBgn0005660","Ets21C","CG2914","lola_promoters"
"2181","FBgn0010051","Itp-r83A","CG1063","lola_promoters"
"2325","FBgn0010387","Dbi","CG8627","lola_promoters"
"2394","FBgn0010482","l(2)01289","CG9432","lola_promoters"
"2531","FBgn0011259","Sema1a","CG18405","lola_promoters"
"2545","FBgn0011274","Dif","CG6794","lola_promoters"
"2619","FBgn0011589","Elk","CG5076","lola_promoters"
"2674","FBgn0011676","Nos","CG6713","lola_promoters"
"2739","FBgn0011770","Gip","CG2227","lola_promoters"
"2889","FBgn0012034","AcCoAS","CG9390","lola_promoters"
"3027","FBgn0013733","shot","CG18076","lola_promoters"
"3080","FBgn0013972","Gycalpha99B","CG1912","lola_promoters"
"3081","FBgn0013973","Gycbeta100B","CG1470","lola_promoters"
"3114","FBgn0014018","Rel","CG11992","lola_promoters"
"3141","FBgn0014073","Tie","CG7525","lola_promoters"
"3185","FBgn0014396","tim","CG3234","lola_promoters"
"3314","FBgn0015321","Ubc4","CG8284","lola_promoters"
"3388","FBgn0015577","alpha-Est9","CG1128","lola_promoters"
"3413","FBgn0015614","CanB2","CG11217","lola_promoters"
"3557","FBgn0016078","wun","CG8804","lola_promoters"
"3757","FBgn0020248","stet","CG33166","lola_promoters"
"4028","FBgn0022160","Gpo1","CG8256","lola_promoters"
"4057","FBgn0022382","Pka-R2","CG15862","lola_promoters"
"4066","FBgn0022709","Adk1","CG17146","lola_promoters"
"4119","FBgn0023083","fray","CG7693","lola_promoters"
"4125","FBgn0023094","cyc","CG8727","lola_promoters"
"4145","FBgn0023179","amon","CG6438","lola_promoters"
"4185","FBgn0023507","D2hgdh","CG3835","lola_promoters"
"4361","FBgn0024732","Drep1","CG8357","lola_promoters"
"4393","FBgn0024913","Actbeta","CG11062","lola_promoters"
"4457","FBgn0025352","Thiolase","CG4581","lola_promoters"
"4469","FBgn0025382","Rab27","CG14791","lola_promoters"
"4495","FBgn0025469","slv","CG8717","lola_promoters"
"4562","FBgn0025642","CG32812","CG32812","lola_promoters"
"4594","FBgn0025702","Srpk79D","CG11489","lola_promoters"
"4795","FBgn0026263","bip1","CG7574","lola_promoters"
"4918","FBgn0026602","Ady43A","CG1851","lola_promoters"
"4968","FBgn0026872","CG14777","CG14777","lola_promoters"
"5046","FBgn0027339","jim","CG11352","lola_promoters"
"5119","FBgn0027529","tapas","CG8920","lola_promoters"
"5133","FBgn0027547","CG1927","CG1927","lola_promoters"
"5140","FBgn0027552","CG10863","CG10863","lola_promoters"
"5195","FBgn0027596","Kank","CG10249","lola_promoters"
"5210","FBgn0027600","obst-B","CG4778","lola_promoters"
"5345","FBgn0028369","kirre","CG3653","lola_promoters"
"5444","FBgn0028496","CG30116","CG30116","lola_promoters"
"5479","FBgn0028527","CG18507","CG18507","lola_promoters"
"5610","FBgn0028743","Dhit","CG5036","lola_promoters"
"5663","FBgn0028886","CG15279","CG15279","lola_promoters"
"6055","FBgn0029823","Shmt","CG3011","lola_promoters"
"6071","FBgn0029835","CG5921","CG5921","lola_promoters"
"6088","FBgn0029849","Efr","CG3774","lola_promoters"
"6102","FBgn0029864","CG15894","CG15894","lola_promoters"
"6139","FBgn0029894","CG14440","CG14440","lola_promoters"
"6172","FBgn0029922","CG14431","CG14431","lola_promoters"
"6312","FBgn0030052","CG12065","CG12065","lola_promoters"
"6723","FBgn0030478","CG1640","CG1640","lola_promoters"
"6827","FBgn0030581","CG14408","CG14408","lola_promoters"
"6883","FBgn0030634","CG9164","CG9164","lola_promoters"
"6989","FBgn0030723","dpr18","CG14948","lola_promoters"
"7223","FBgn0030932","Ggt-1","CG6461","lola_promoters"
"7262","FBgn0030976","CG7378","CG7378","lola_promoters"
"7518","FBgn0031191","Cp110","CG14617","lola_promoters"
"7547","FBgn0031228","ND-15","CG11455","lola_promoters"
"7624","FBgn0031294","IA-2","CG31795","lola_promoters"
"7680","FBgn0031359","Rim2","CG18317","lola_promoters"
"7694","FBgn0031374","Wdr62","CG7337","lola_promoters"
"7703","FBgn0031381","Npc2a","CG7291","lola_promoters"
"7751","FBgn0031424","VGlut","CG9887","lola_promoters"
"7753","FBgn0031426","CG18641","CG18641","lola_promoters"
"7861","FBgn0031518","CG3277","CG3277","lola_promoters"
"8169","FBgn0031811","CG13982","CG13982","lola_promoters"
"8179","FBgn0031816","Rchy1","CG16947","lola_promoters"
"8231","FBgn0031858","CG17378","CG17378","lola_promoters"
"8626","FBgn0032218","CG5381","CG5381","lola_promoters"
"8805","FBgn0032400","CG6770","CG6770","lola_promoters"
"8988","FBgn0032603","CG17928","CG17928","lola_promoters"
"8994","FBgn0032614","CG13284","CG13284","lola_promoters"
"9037","FBgn0032651","Oli","CG5545","lola_promoters"
"9049","FBgn0032666","CG5758","CG5758","lola_promoters"
"9094","FBgn0032713","CG17323","CG17323","lola_promoters"
"9103","FBgn0032723","ssp3","CG18397","lola_promoters"
"9179","FBgn0032797","Hasp","CG10186","lola_promoters"
"9183","FBgn0032798","CG10132","CG10132","lola_promoters"
"9193","FBgn0032805","CG10337","CG10337","lola_promoters"
"9205","FBgn0032817","CG10631","CG10631","lola_promoters"
"9227","FBgn0032840","sNPF","CG13968","lola_promoters"
"9244","FBgn0032856","CG16798","CG16798","lola_promoters"
"9440","FBgn0033075","Pld","CG12110","lola_promoters"
"9483","FBgn0033127","Tsp42Ef","CG12845","lola_promoters"
"9484","FBgn0033128","Tsp42Eg","CG12142","lola_promoters"
"9610","FBgn0033250","CG14762","CG14762","lola_promoters"
"9709","FBgn0033368","CG13743","CG13743","lola_promoters"
"9740","FBgn0033402","Myd88","CG2078","lola_promoters"
"9765","FBgn0033438","Mmp2","CG1794","lola_promoters"
"9870","FBgn0033538","CG11883","CG11883","lola_promoters"
"9919","FBgn0033584","CG7737","CG7737","lola_promoters"
"9988","FBgn0033663","ERp60","CG8983","lola_promoters"
"9991","FBgn0033668","exp","CG13188","lola_promoters"
"10069","FBgn0033744","Dh44-R2","CG12370","lola_promoters"
"10252","FBgn0033919","CG8547","CG8547","lola_promoters"
"10257","FBgn0033926","Arc1","CG12505","lola_promoters"
"10258","FBgn0033928","Arc2","CG13941","lola_promoters"
"10273","FBgn0033945","CG12868","CG12868","lola_promoters"
"10437","FBgn0034098","krimp","CG15707","lola_promoters"
"10463","FBgn0034135","Syn2","CG4905","lola_promoters"
"10494","FBgn0034162","CG6426","CG6426","lola_promoters"
"10691","FBgn0034389","Mctp","CG15078","lola_promoters"
"10700","FBgn0034396","CG15097","CG15097","lola_promoters"
"10704","FBgn0034398","CG15098","CG15098","lola_promoters"
"10710","FBgn0034405","Jheh2","CG15102","lola_promoters"
"10720","FBgn0034417","CG15117","CG15117","lola_promoters"
"10896","FBgn0034583","CG10527","CG10527","lola_promoters"
"11019","FBgn0034720","Liprin-gamma","CG11206","lola_promoters"
"11033","FBgn0034729","CG10344","CG10344","lola_promoters"
"11165","FBgn0034883","Eglp2","CG17664","lola_promoters"
"11184","FBgn0034903","sona","CG9850","lola_promoters"
"11227","FBgn0034951","CG3860","CG3860","lola_promoters"
"11255","FBgn0034978","CG3257","CG3257","lola_promoters"
"11267","FBgn0034997","CG3376","CG3376","lola_promoters"
"11306","FBgn0035025","uri","CG11416","lola_promoters"
"11335","FBgn0035049","Mmp1","CG4859","lola_promoters"
"11577","FBgn0035279","Cpr62Ba","CG13934","lola_promoters"
"11602","FBgn0035299","CG11815","CG11815","lola_promoters"
"11616","FBgn0035321","CG1275","CG1275","lola_promoters"
"11657","FBgn0035382","Or63a","CG9969","lola_promoters"
"11679","FBgn0035400","CG11537","CG11537","lola_promoters"
"11711","FBgn0035425","CG17746","CG17746","lola_promoters"
"11722","FBgn0035431","CG14968","CG14968","lola_promoters"
"11759","FBgn0035477","CG14982","CG14982","lola_promoters"
"11793","FBgn0035497","CG14995","CG14995","lola_promoters"
"11796","FBgn0035499","Chd64","CG14996","lola_promoters"
"11808","FBgn0035515","CG14997","CG14997","lola_promoters"
"11830","FBgn0035538","DopEcR","CG18314","lola_promoters"
"12005","FBgn0035719","tow","CG14821","lola_promoters"
"12284","FBgn0036008","CG3408","CG3408","lola_promoters"
"12547","FBgn0036288","CG10660","CG10660","lola_promoters"
"12554","FBgn0036294","CG10654","CG10654","lola_promoters"
"12584","FBgn0036324","CG12520","CG12520","lola_promoters"
"12712","FBgn0036461","Zip71B","CG10006","lola_promoters"
"12796","FBgn0036551","CG17029","CG17029","lola_promoters"
"13018","FBgn0036770","Prestin","CG5485","lola_promoters"
"13021","FBgn0036773","CG13698","CG13698","lola_promoters"
"13099","FBgn0036837","CG18135","CG18135","lola_promoters"
"13117","FBgn0036851","CG14082","CG14082","lola_promoters"
"13313","FBgn0037016","CG13252","CG13252","lola_promoters"
"13363","FBgn0037060","CG10508","CG10508","lola_promoters"
"13435","FBgn0037130","Syn1","CG7152","lola_promoters"
"13545","FBgn0037239","Sfxn1-3","CG11739","lola_promoters"
"13580","FBgn0037282","CG14657","CG14657","lola_promoters"
"13684","FBgn0037391","CG2017","CG2017","lola_promoters"
"13795","FBgn0037518","CG2641","CG2641","lola_promoters"
"13949","FBgn0037655","Kcmf1","CG11984","lola_promoters"
"13996","FBgn0037697","GstZ2","CG9363","lola_promoters"
"14019","FBgn0037717","CG8301","CG8301","lola_promoters"
"14060","FBgn0037754","CG8500","CG8500","lola_promoters"
"14193","FBgn0037913","fabp","CG6783","lola_promoters"
"14217","FBgn0037936","CG6908","CG6908","lola_promoters"
"14263","FBgn0037989","ATP8B","CG14741","lola_promoters"
"14525","FBgn0038273","CG14860","CG14860","lola_promoters"
"14533","FBgn0038282","dpr9","CG33485","lola_promoters"
"14645","FBgn0038404","CG8925","CG8925","lola_promoters"
"14646","FBgn0038405","CG8927","CG8927","lola_promoters"
"14850","FBgn0038610","CG7675","CG7675","lola_promoters"
"14905","FBgn0038679","CG6040","CG6040","lola_promoters"
"15055","FBgn0038828","CG17270","CG17270","lola_promoters"
"15065","FBgn0038837","KaiR1D","CG3822","lola_promoters"
"15101","FBgn0038874","ETHR","CG5911","lola_promoters"
"15427","FBgn0039203","CG13618","CG13618","lola_promoters"
"15432","FBgn0039207","CG5789","CG5789","lola_promoters"
"15435","FBgn0039209","REPTOR","CG13624","lola_promoters"
"15643","FBgn0039430","CG5455","CG5455","lola_promoters"
"15645","FBgn0039431","plum","CG6490","lola_promoters"
"15731","FBgn0039525","CG5646","CG5646","lola_promoters"
"15942","FBgn0039737","CG7920","CG7920","lola_promoters"
"15968","FBgn0039758","CG9737","CG9737","lola_promoters"
"16250","FBgn0040064","yip2","CG4600","lola_promoters"
"16302","FBgn0040233","cana","CG33694","lola_promoters"
"16392","FBgn0040348","CG3703","CG3703","lola_promoters"
"16500","FBgn0040551","CG11686","CG11686","lola_promoters"
"16558","FBgn0040696","CG18675","CG18675","lola_promoters"
"16682","FBgn0040985","CG6115","CG6115","lola_promoters"
"16736","FBgn0041181","Tep3","CG7068","lola_promoters"
"16794","FBgn0041585","olf186-F","CG11430","lola_promoters"
"16829","FBgn0041713","yellow-c","CG4182","lola_promoters"
"16884","FBgn0042135","CG18812","CG18812","lola_promoters"
"17104","FBgn0045761","CHKov1","CG10618","lola_promoters"
"17200","FBgn0050000","GstT1","CG30000","lola_promoters"
"17298","FBgn0050147","Hil","CG30147","lola_promoters"
"17592","FBgn0051036","CG31036","CG31036","lola_promoters"
"17615","FBgn0051075","CG31075","CG31075","lola_promoters"
"17635","FBgn0051100","CG31100","CG31100","lola_promoters"
"17670","FBgn0051143","tRNA:Leu-CAA-2-3","CR31143","lola_promoters"
"17697","FBgn0051176","CG31176","CG31176","lola_promoters"
"17867","FBgn0051472","sgll","CG31472","lola_promoters"
"17914","FBgn0051549","CG31549","CG31549","lola_promoters"
"17944","FBgn0051619","nolo","CG31619","lola_promoters"
"17955","FBgn0051633","CG31633","CG31633","lola_promoters"
"17967","FBgn0051638","CG31638","CG31638","lola_promoters"
"17991","FBgn0051674","CG31674","CG31674","lola_promoters"
"18040","FBgn0051729","CG31729","CG31729","lola_promoters"
"18055","FBgn0051759","CG31759","CG31759","lola_promoters"
"18057","FBgn0051760","CG31760","CG31760","lola_promoters"
"18233","FBgn0052017","CG32017","CG32017","lola_promoters"
"18277","FBgn0052082","IRSp53","CG32082","lola_promoters"
"18278","FBgn0052085","CG32085","CG32085","lola_promoters"
"18396","FBgn0052264","CG32264","CG32264","lola_promoters"
"18491","FBgn0052412","QC","CG32412","lola_promoters"
"18545","FBgn0052473","CG32473","CG32473","lola_promoters"
"18599","FBgn0052547","CG32547","CG32547","lola_promoters"
"18657","FBgn0052644","Mur11Da","CG32644","lola_promoters"
"18659","FBgn0052647","CG32647","CG32647","lola_promoters"
"18913","FBgn0053138","AGBE","CG33138","lola_promoters"
"19216","FBgn0053523","CG33523","CG33523","lola_promoters"
"19463","FBgn0053970","CG33970","CG33970","lola_promoters"
"19757","FBgn0082585","sprt","CG30023","lola_promoters"
"19903","FBgn0083942","CG34106","CG34106","lola_promoters"
"20196","FBgn0085404","CG34375","CG34375","lola_promoters"
"20211","FBgn0085412","CG34383","CG34383","lola_promoters"
"20219","FBgn0085414","dpr12","CG34385","lola_promoters"
"20246","FBgn0085426","Rgk3","CG34397","lola_promoters"
"20457","FBgn0086254","CG6084","CG6084","lola_promoters"
"20466","FBgn0086355","Tpi","CG2171","lola_promoters"
"20561","FBgn0086674","Tango13","CG32632","lola_promoters"
"20589","FBgn0086687","Desat1","CG5887","lola_promoters"
"20617","FBgn0086711","mol","CG4482","lola_promoters"
"20621","FBgn0086758","chinmo","CG31666","lola_promoters"
"20656","FBgn0086913","Rab26","CG34410","lola_promoters"
"20719","FBgn0250785","vari","CG9326","lola_promoters"
"20888","FBgn0259174","Nedd4","CG42279","lola_promoters"
"21140","FBgn0259822","Ca-beta","CG42403","lola_promoters"
"21346","FBgn0260446","GABA-B-R1","CG15274","lola_promoters"
"21391","FBgn0260499","qvr","CG33472","lola_promoters"
"21393","FBgn0260632","dl","CG6667","lola_promoters"
"21416","FBgn0260653","serp","CG32209","lola_promoters"
"21423","FBgn0260657","CG42540","CG42540","lola_promoters"
"21431","FBgn0260660","Mp","CG42543","lola_promoters"
"21558","FBgn0260943","Rbp6","CG32169","lola_promoters"
"21608","FBgn0261015","Pif1A","CG42599","lola_promoters"
"21639","FBgn0261085","Syt12","CG10617","lola_promoters"
"21653","FBgn0261113","Xrp1","CG17836","lola_promoters"
"21670","FBgn0261244","inaE","CG33174","lola_promoters"
"21813","FBgn0261547","Exn","CG42665","lola_promoters"
"21852","FBgn0261556","CG42674","CG42674","lola_promoters"
"21980","FBgn0261673","nemy","CG8776","lola_promoters"
"21997","FBgn0261698","SLO2","CG42732","lola_promoters"
"22003","FBgn0261703","gce","CG42739","lola_promoters"
"22056","FBgn0261804","CG42750","CG42750","lola_promoters"
"22092","FBgn0261836","Msp300","CG42768","lola_promoters"
"22133","FBgn0261862","whd","CG12891","lola_promoters"
"22141","FBgn0261873","sdt","CG32717","lola_promoters"
"22149","FBgn0261885","osa","CG7467","lola_promoters"
"22197","FBgn0261985","Ptpmeg","CG1228","lola_promoters"
"22211","FBgn0261995","CG42813","CG42813","lola_promoters"
"22238","FBgn0262026","CG42837","CG42837","lola_promoters"
"22429","FBgn0262378","mir-317","CR42900","lola_promoters"
"22584","FBgn0262559","Mdh2","CG7998","lola_promoters"
"22604","FBgn0262579","Ect4","CG43119","lola_promoters"
"22729","FBgn0262738","norpA","CG3620","lola_promoters"
"22737","FBgn0262739","AGO1","CG6671","lola_promoters"
